market,tea_type,response_no,verbatim,theme,sentiment,persona
UK,"Fruit tea (e.g. berry, peach)",843,It's too expensive for what it is,Price / value,Neutral,Functional Benefit Seeker
CA,Instant tea powder,844,Takes too long to make,Brewing complexity,Negative,Price-Conscious Rejecter
CA,Green tea (pure),845,I always get the brewing wrong,Brewing complexity,Neutral,Convenience Buyer
UK,Peppermint tea,846,I'm never sure how long to brew it,Brewing complexity,Neutral,Traditional Drinker
US,Other cold brew tea,847,I always get the brewing wrong,Brewing complexity,Positive,Functional Benefit Seeker
CA,Other cold brew tea,848,The bubbles put me off,Texture / mouthfeel,Negative,Curious Explorer
UK,Lemon / ginger tea,849,I'm trying to cut down on caffeine,Caffeine concerns,Neutral,Traditional Drinker
UK,Green tea decaffeinated,850,I stick to what I know,Habit / preference,Negative,Price-Conscious Rejecter
US,Cold brew black tea,851,Not worth the extra cost,Price / value,Negative,Curious Explorer
CA,Chamomile tea,852,I've never really tried it,Unfamiliarity,Positive,Traditional Drinker
CA,Regular / everyday black tea,853,Hard to find in my local shop,Availability,Neutral,Wellness Seeker
UK,Other herbal tea,854,I find it bland and watery,Taste / flavour,Negative,Wellness Seeker
UK,Chamomile tea,855,I stick to what I know,Habit / preference,Negative,Price-Conscious Rejecter
CA,Chamomile tea,856,The bubbles put me off,Texture / mouthfeel,Negative,Functional Benefit Seeker
UK,Decaffeinated black tea,857,Want something caffeine-free,Caffeine concerns,Negative,Functional Benefit Seeker
UK,Regular / everyday black tea,858,I don't like the grassy flavour,Taste / flavour,Negative,Curious Explorer
UK,Other tea (e.g. white tea),859,I always get the brewing wrong,Brewing complexity,Negative,Traditional Drinker
US,"Origin black tea (e.g. Assam, Darjeeling)",860,I don't like the grassy flavour,Taste / flavour,Negative,Traditional Drinker
US,Cold brew green tea,861,Not familiar with how to drink it,Unfamiliarity,Negative,Traditional Drinker
CA,"Fruit tea (e.g. berry, peach)",862,Can't get it easily,Availability,Positive,Traditional Drinker
UK,Other cold brew tea,863,Too much effort to prepare properly,Brewing complexity,Positive,Convenience Buyer
US,Cold brew black tea,864,I'm trying to cut down on caffeine,Caffeine concerns,Neutral,Wellness Seeker
US,Bubble tea,865,Not familiar with how to drink it,Unfamiliarity,Positive,Price-Conscious Rejecter
UK,Flavoured black tea (e.g. Earl Grey),866,Flavour is too earthy,Taste / flavour,Positive,Curious Explorer
UK,Green tea flavoured (e.g. lemon),867,Takes too long to make,Brewing complexity,Negative,Traditional Drinker
US,Decaffeinated black tea,868,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Functional Benefit Seeker
US,Other herbal tea,869,Flavour is too earthy,Taste / flavour,Negative,Price-Conscious Rejecter
CA,Other herbal tea,870,Premium pricing puts me off,Price / value,Negative,Functional Benefit Seeker
US,Peppermint tea,871,Rarely see it on the shelf,Availability,Negative,Traditional Drinker
UK,Cold brew black tea,872,Want something caffeine-free,Caffeine concerns,Negative,Convenience Buyer
US,Rooibos / red tea,873,I find it bland and watery,Taste / flavour,Negative,Traditional Drinker
CA,Instant tea powder,874,I always get the brewing wrong,Brewing complexity,Negative,Curious Explorer
UK,Bubble tea,875,I'm never sure how long to brew it,Brewing complexity,Negative,Convenience Buyer
CA,Cold brew black tea,876,I've never really tried it,Unfamiliarity,Negative,Traditional Drinker
